"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","ENF_CONCLUSION_NMBR","ENF_CONCLUSION_ACTION_CODE","ENF_CONCLUSION_NAME","SETTLEMENT_LODGED_DATE","SETTLEMENT_ENTERED_DATE","SETTLEMENT_FY","PRIMARY_LAW","REGION_CODE","ACTIVITY_TYPE_CODE","FED_PENALTY_ASSESSED_AMT","STATE_LOCAL_PENALTY_AMT","SEP_AMT","COMPLIANCE_ACTION_COST","COST_RECOVERY_AWARDED_AMT"
"2206","02-1986-0285","1886","3","CDC","TEXACO INC.","03/24/1994","03/24/1994","1994","CERCLA","02","JDC",,,,"0","250000"
"1942","02-1985-0040","1708","1","CDC","SPECTRASERV, INC","12/20/1995","12/20/1995","1996","CERCLA","02","JDC",,,,"0","95000"
"1877","02-1983-0012","1644","1","CDC","ALL PURPOSE ROLL LEAF","03/14/1985","03/14/1985","1985","CAA","02","JDC","50000",,,"0",
"4933","02-1994-0019","3818","1","APO","NATIONAL ENVIRONMENTAL SAFETY CO.","12/29/1993","09/02/1994","1994","TSCA","02","AFR","8250",,,"0",
"4934","02-1994-0020","3819","1","APO","LONG ISLAND LIGHTING CO.","12/29/1993","08/18/1994","1994","RCRA","02","AFR","24500",,,"0",
"4942","02-1994-0028","3827","1","APO","BERGEN POINT BRASS CO.","12/15/1993","03/25/1994","1994","EPCRA","02","AFR","1000",,,"0",
"120","01-1986-0022","108","1","CDC","CANNONS ENGINEERING CORP (I)","08/14/1989","08/14/1989","1989","CERCLA","01","JDC","0","0",,"0","16000000"
"33163","05-2001-0531","21723","1","APO","ABC CUSTOM CHROME, INC.","06/22/2001","06/22/2001","2001","EPCRA","05","AFR","600","0",,"0","0"
"536","01-1996-0106","495","1","APO","3 M STATIC CONTROLS","09/26/1996","02/20/1997","1997","EPCRA","01","AFR","75515",,,"0",
"541","01-1996-0111","500","1","APO","SUNFISH LASER","07/02/1996","03/27/1997","1997","EPCRA","01","AFR","13124",,,"0",
